pair_id,human_role(source/patient/agent)_coder1,human_label(neg/neu/pos)_coder1,human_frame_conflict(0/1)_coder1,human_frame_human_interest(0/1)_coder1,human_frame_economic(0/1)_coder1,human_frame_morality(0/1)_coder1,human_frame_responsibility(0/1)_coder1,human_role(source/patient/agent)_coder2,human_label(neg/neu/pos)_coder2,human_frame_conflict(0/1)_coder2,human_frame_human_interest(0/1)_coder2,human_frame_economic(0/1)_coder2,human_frame_morality(0/1)_coder2,human_frame_responsibility(0/1)_coder2
1204472::PA609332,agent,pos,0,0,0,0,0,agent,pos,0,0,0,0,0
1181976::PA719930,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
4465118::PA721202,patient,neg,1,0,1,1,1,agent,neg,0,0,1,0,1
121907::PA267285,patient,neg,0,0,0,0,0,patient,neg,1,0,0,0,0
1901543::PA267285,agent,neg,1,0,0,0,0,agent,neg,1,0,0,0,0
4555071::PA720614,agent,neu,1,0,0,0,1,agent,neu,1,0,0,0,1
4554482::PA722190,agent,pos,0,0,0,1,0,agent,neu,0,0,0,0,0
2353782::PA795318,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
5002014::PA722190,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
1820576::PA588884,agent,neu,0,0,0,0,0,source,neu,0,0,0,0,0
6393::PA330240,agent,neg,0,0,0,0,0,agent,neg,0,0,0,0,0
1372132::PA720614,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
1963685::PA720614,patient,pos,0,0,0,0,0,patient,neu,0,0,0,0,0
1806697::PA842105,agent,neu,0,1,0,0,0,agent,neu,0,1,0,0,0
1954205::PA720038,patient,neu,0,1,0,1,1,patient,pos,0,1,0,0,0
4499686::PA720468,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
1996820::PA720614,agent,neu,0,0,0,0,0,patient,neu,0,0,0,0,0
1826602::PA722190,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
2625468::PA794038,source,neu,0,1,0,0,0,source,neu,0,0,0,0,0
3707160::PA720614,patient,neg,0,0,0,0,0,patient,neg,0,0,0,0,0
2834444::PA722142,source,neu,1,0,0,1,1,source,neu,0,0,0,1,1
2197691::PA842105,patient,neg,1,1,0,0,1,patient,neg,1,1,0,0,1
2727879::PA720154,agent,neu,0,1,0,0,0,agent,neu,0,0,0,0,0
1666816::PA720614,patient,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
881408::PA720614,patient,pos,0,0,0,1,0,patient,pos,0,0,0,0,0
1700021::PA609332,agent,pos,0,0,0,0,0,agent,neu,0,0,0,0,0
4576912::PA721908,patient,neg,0,0,0,1,0,patient,neu,0,0,0,0,0
2360051::PA795746,patient,neg,1,0,0,0,0,patient,neg,1,0,0,0,0
1673970::PA720614,patient,neg,0,0,0,0,0,patient,neg,0,1,0,0,1
1702763::PA330240,agent,neu,1,1,0,0,0,agent,neu,1,1,0,0,0
589404::PA721908,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
1616512::PA796090,source,neu,1,0,0,0,1,source,neu,0,0,0,0,1
32123::PA267285,agent,neu,0,0,0,0,1,source,neu,0,0,0,0,1
1736183::PA720614,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
4628870::PA717161,source,neu,1,0,0,0,0,source,neu,1,0,0,0,0
4699927::PA720614,patient,neg,0,0,0,0,0,patient,neg,0,0,0,0,0
1407561::PA795466,agent,pos,0,0,0,0,0,agent,neu,0,0,0,0,0
549167::PA795076,agent,neg,0,0,0,0,0,patient,neg,0,0,0,0,0
257754::PA720614,source,neu,1,0,0,0,0,source,neu,1,0,0,0,0
2546216::PA720614,source,neu,0,0,1,0,1,source,neu,0,0,0,0,1
2722717::PA722190,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
1790590::PA793444,source,neu,0,1,0,0,1,source,neu,0,1,0,0,0
1776203::PA721202,agent,neu,1,1,0,1,1,agent,neu,1,1,0,0,0
1721004::PA720038,source,neu,1,1,0,0,1,source,neu,1,0,0,0,1
2555144::PA1654,agent,pos,0,0,0,1,1,agent,pos,0,0,0,1,1
1181309::PA335999,source,neu,1,1,0,0,1,source,neu,1,1,0,0,0
907183::PA722190,agent,neu,0,1,0,0,0,agent,neu,0,0,0,0,0
1836278::PA609332,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
1228625::PA720892,source,neu,1,1,0,0,1,source,neu,1,0,0,0,0
3664742::PA609332,patient,neg,1,0,0,0,0,patient,neu,1,0,0,0,0
1826208::PA1567,agent,neu,0,1,0,0,0,agent,neu,0,0,0,0,0
1693865::PA720614,patient,neg,0,0,1,0,1,patient,neg,0,0,1,1,0
590946::PA722190,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
19794::PA720614,agent,neg,0,0,0,0,0,agent,neg,0,0,0,0,0
2694285::PA720614,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
2354140::PA722190,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
2723153::PA720614,agent,pos,0,0,0,0,0,agent,pos,1,0,0,0,0
200678::PA842105,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
1759460::PA720614,patient,pos,0,0,1,0,0,patient,neu,0,0,0,0,0
2352196::PA605782,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
2600784::PA720480,agent,neu,0,0,0,0,0,patient,neu,0,0,0,0,0
2295357::PA795466,patient,neu,0,1,0,1,0,patient,neu,0,1,0,0,0
4876744::PA720614,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
2398553::PA1567,source,neu,1,0,0,1,1,source,neu,1,0,0,1,0
2171390::PA267285,agent,neg,0,0,1,1,1,agent,neg,0,0,1,1,1
4514242::PA842155,patient,neg,0,0,0,1,1,patient,neg,0,0,0,1,0
1186176::PA796090,source,neu,1,0,0,1,0,source,neu,1,0,0,1,0
2356760::PA1654,agent,pos,0,0,0,1,1,agent,neu,0,0,0,1,1
2914428::PA720614,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
182815::PA794486,source,neu,1,0,0,1,0,source,neu,1,0,0,1,0
1753148::PA794322,agent,neu,0,0,1,0,0,source,neu,0,0,0,0,0
1794538::PA791812,patient,neg,0,0,0,1,1,patient,neg,0,0,0,1,1
588997::PA267285,source,neu,1,0,0,1,1,source,neu,0,0,0,1,1
4671983::PA722190,agent,pos,0,1,0,0,0,agent,pos,0,1,0,0,0
4686405::PA609332,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
4548813::PA722190,agent,pos,0,0,0,0,0,agent,pos,0,0,0,0,0
1812203::PA267285,patient,neg,0,1,0,0,0,agent,neu,0,1,0,0,0
2820540::PA720614,patient,neg,0,0,0,0,0,patient,neg,0,0,0,0,1
4433532::PA719938,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
4549097::PA368,source,neu,0,0,0,0,1,source,neu,0,0,0,0,0
1943603::PA267285,patient,neg,0,0,1,0,1,agent,neg,0,0,1,0,0
4643257::PA719930,patient,neg,1,0,0,0,1,patient,neu,1,0,0,0,0
2924553::PA794206,agent,neu,0,0,0,0,0,agent,neu,0,1,0,0,0
4782599::PA722142,source,neu,1,1,0,0,1,source,neu,0,1,0,0,1
2347048::PA1567,source,neu,0,0,0,0,1,source,neu,0,0,0,0,0
1447135::PA330240,patient,neg,1,0,0,0,0,patient,neg,1,0,0,0,0
3707183::PA720614,agent,neu,1,0,0,0,0,agent,neu,0,0,0,0,0
1608005::PA722190,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
1239272::PA720892,source,neu,1,0,0,1,1,source,neu,1,0,0,0,0
1694214::PA720614,patient,neg,0,0,0,0,0,patient,neg,0,0,0,0,0
2357533::PA722142,agent,neu,1,0,0,0,0,patient,neu,0,0,0,0,1
2433055::PA609332,agent,neg,0,1,0,0,0,agent,neu,0,0,0,0,0
2502144::PA609332,agent,neu,0,0,1,0,1,agent,neu,0,0,1,0,1
2676352::PA330240,agent,neg,0,0,0,0,1,agent,neg,0,0,0,0,1
2345339::PA722190,source,neu,0,0,0,0,1,source,neu,0,0,0,0,0
4685306::PA841207,agent,neu,1,0,0,0,1,patient,neu,1,0,0,0,0
4709842::PA721908,source,neu,0,0,0,1,1,source,neu,0,0,0,0,1
134395::PA720614,patient,neg,0,0,0,0,0,patient,neu,0,0,0,0,0
1181494::PA267285,agent,pos,1,0,0,0,0,agent,pos,1,0,0,0,1
2502313::PA335999,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
555098::PA717161,agent,neg,1,0,0,0,0,source,neu,1,0,0,0,0
4527623::PA793756,patient,neg,1,0,0,0,0,patient,neg,1,0,0,0,0
1181733::PA795596,agent,neu,1,0,0,0,0,agent,neu,1,0,0,0,0
1688713::PA1654,source,neu,1,1,1,0,1,source,neu,0,0,1,0,1
